"OrganizationId","OrganizationName","OrganizationSlug","OrganizationCreationDate","OrganizationDescription"
"114","The MathWorks","mathworks","10/24/2016","MathWorks is the leading developer of mathematical computing software for engineers and scientists. Founded in 1984, MathWorks employs over 3500 people in 15 countries, with headquarters in Natick, Massachusetts, U.S.A. Learn more [here][1].


**MathWorks Support for Kaggle Competitions**

MATLAB lets your team prototype multiple approaches and use model refinement tools to create accurate predictive models that can help you win a competition. [Learn more about our support and how to request complimentary software][2].


**MathWorks Involvement in Kaggle Competitions**

   [Melbourne University AES/MathWorks/NIH Seizure Prediction][3]
   
   [Right Whale Recognition][4]
   
   [Packing Santa's Sleigh][5]
   
   [KDD Cup 2014][6]
   
   [Prudential Life Insurance Assessment][7]
   
   [Titanic][8]

**Join the MATLAB community for Kaggle**

[File Exchange][9] lets you find and share custom applications, classes, code examples, drivers, functions, Simulink models, scripts, and videos. 
You can [link your GitHub repositories to File Exchange][10], and tag your File Exchange submission with keyword ""[kaggle][11]"". The direct connection between File Exchange and GitHub allows you to develop software projects in a single environment without having to upload files to both locations.   


**Have cool ideas to turn into a Kaggle competition?**

If you would like to collaborate with MathWorks on a competition, please [contact us][12] at studentcompetitions@mathworks.com.


  [1]: https://www.mathworks.com/company/?s_tid=hp_ff_a_company
  [2]: https://www.mathworks.com/academia/student-competitions/kaggle/
  [3]: https://www.kaggle.com/c/melbourne-university-seizure-prediction/details/matlab-tutorial
  [4]: https://www.kaggle.com/c/noaa-right-whale-recognition/details/creating-a-face-detector-for-whales
  [5]: https://www.kaggle.com/c/packing-santas-sleigh
  [6]: https://www.kaggle.com/c/kdd-cup-2014-predicting-excitement-at-donors-choose/forums/t/9384/matlab-starter-code
  [7]: https://www.kaggle.com/c/prudential-life-insurance-assessment/forums/t/17712/matlab-starter-codes-part1-data-exploration-simple-classification-tree
  [8]: http://blogs.mathworks.com/loren/2015/06/18/getting-started-with-kaggle-data-science-competitions/
  [9]: https://www.mathworks.com/matlabcentral/about/fx/
  [10]: http://blogs.mathworks.com/community/2014/04/18/file-exchange-now-hosts-github/
  [11]: https://www.mathworks.com/matlabcentral/fileexchange/?utf8=%E2%9C%93&term=kaggle
  [12]: mailto:studentcompetitions@mathworks.com"
"120","SIZZLE","SIZZLE","10/24/2016",""
"122","DataSF","datasf","10/24/2016","**Our Mission**

Our mission is to empower use of data. At [DataSF][1], we seek to transform the way the City works through the use of data. We believe use of data and evidence can improve our operations and the services we provide. This ultimately leads to increased quality of life and work for San Francisco residents, employers, employees and visitors.

**Our Vision**

We are a data-driven City. Leadership and employees use data to continuously improve City services and operations. City staff has the support, skills and capacity to collect, manage, and use data effectively and efficiently. Our data is understood, documented and of high quality. Our data infrastructure provides data that is usable, timely, and accessible. [Published data][2] supports broad and unanticipated uses of City Data and supports trust, transparency and accountability.


  [1]: http://datasf.org
  [2]: http://data.datasf.org"
"137","CooperUnion","CooperUnion","10/27/2016",""
"141","Banco Santander","santander","10/27/2016","Santander's purpose is to help people and businesses prosper. Our aim is to be the best retail and commercial bank.

Banco Santander (SAN.MC, STD.N, BNC.LN) is a retail and commercial bank, based in Spain, with a presence in 10 main markets. Santander is the largest bank in the euro zone by market capitalization. Founded in 1857, Santander had EUR 1.24 trillion in managed funds, 103 million customers, 13,927 branches – more than any other international bank – and 182,958 employees at the close of 2013. It is the largest financial group in Spain and Latin America. It also has significant positions in the United Kingdom, Portugal, Germany, Poland and the northeast United States. Santander registered EUR 4.37 billion in attributable profit in 2013, an increase of 90% from the previous year."
"143","Gaussian","gaussian","10/27/2016",""
"147","NASA","nasa","10/28/2016","The National Aeronautics and Space Administration (NASA) is an independent agency of the executive branch of the United States federal government responsible for the civilian space program as well as aeronautics and aerospace research. NASA's Vision: We reach for new heights and reveal the unknown for the benefit of humankind."
"148","Federal Election Commission","fec","10/28/2016","In 1975, Congress created the Federal Election Commission (FEC) to administer and enforce the Federal Election Campaign Act (FECA) - the statute that governs the financing of federal elections. The duties of the FEC, which is an independent regulatory agency, are to disclose campaign finance information, to enforce the provisions of the law such as the limits and prohibitions on contributions, and to oversee the public funding of Presidential elections."
"149","US Department of Agriculture","usda","10/28/2016","We provide leadership on food, agriculture, natural resources, rural development, nutrition, and related issues based on public policy, the best available science, and effective management.

We have a vision to provide economic opportunity through innovation, helping rural America to thrive; to promote agriculture production that better nourishes Americans while also helping feed others throughout the world; and to preserve our Nation's natural resources through conservation, restored forests, improved watersheds, and healthy private working lands.

Our strategic plan serves as a roadmap for the Department to help ensure we achieve our mission and implement our vision."
"150","US Environmental Protection Agency","epa","10/28/2016","The mission of EPA is to protect human health and the environment.

EPA's purpose is to ensure that:

- all Americans are protected from significant risks to human health and the environment where they live, learn and work;

- national efforts to reduce environmental risk are based on the best available scientific information;

- federal laws protecting human health and the environment are enforced fairly and effectively;

- environmental protection is an integral consideration in U.S. policies concerning natural resources, human health, 

- economic growth, energy, transportation, agriculture, industry, and international trade, and these factors are similarly considered in establishing environmental policy;

- all parts of society -- communities, individuals, businesses, and state, local and tribal governments -- have access to accurate information sufficient to effectively participate in managing human health and environmental risks;

- environmental protection contributes to making our communities and ecosystems diverse, sustainable and economically productive; and

- the United States plays a leadership role in working with other nations to protect the global environment."
"158","Centers for Medicare & Medicaid Services","cms","10/31/2016","CMS covers 100 million people through Medicare, Medicaid, the Children's Health Insurance Program, and the Health Insurance Marketplace. But coverage isn't our only goal. To achieve a high quality health care system, we also aim for better care at lower costs and improved health."
"170","FiveThirtyEight","fivethirtyeight","11/03/2016","FiveThirtyEight, sometimes referred to as 538, is a website that focuses on opinion poll analysis, politics, economics, and sports blogging."
"175","Open Sourcing Mental Illness, LTD","osmi","11/03/2016","Open Sourcing Mental Illness is a non-profit, 501c3 corporation dedicated to raising awareness, educating, and providing resources to support mental wellness in the tech and open source communities."
"181","Simon Fraser University - Summit","sfu-summit","11/04/2016","Summit is the Simon Fraser University research repository. It is in place to bring together the scholarship of SFU researchers and was developed as a part of a broader open access strategy, recognizing that faculty and researchers wish to share their work with the largest possible audience that they can. Examples of scholarship that are deposited in Summit include article preprints or final refereed manuscripts (the author's version of the article, not the publisher's published version); research reports; book chapters; images of artwork; conference presentations; video; theses."
"182","Backblaze","backblaze","11/05/2016","Since 2013, Backblaze has published statistics and insights based on the hard drives in our data center. We also publish the data underlying these reports, so that anyone can reproduce them. You'll find an overview of this data and the download links [here][1].

  [1]: https://www.backblaze.com/b2/hard-drive-test-data.html"
"183","Microsoft","Microsoft","11/05/2016","[Microsoft][1] is the leading platform and productivity company for the mobile-first, cloud-first world, and its mission is to empower every person and every organization on the planet to achieve more.  Founded in 1975, Microsoft Corporation is headquartered in Redmond, WA, with subsidiaries in over 100 countries.

Microsoft believes in the power of AI to amplify human ingenuity with intelligent technology, and has been investing in AI research, platforms, and products for decades.  To learn about our efforts visit [Microsoft.com/AI][2].


  [1]: https://www.microsoft.com/en-us/about
  [2]: http://Microsoft.com/AI"
"184","New York Public Library","nypl","11/06/2016","The New York Public Library has been an essential provider of free books, information, ideas, and education for all New Yorkers for more than 100 years. Founded in 1895, NYPL is the nation’s largest public library system, featuring a unique combination of 88 neighborhood branches and four scholarly research centers, bringing together an extraordinary richness of resources and opportunities available to all.

Serving more than 17 million patrons a year, and millions more online, the Library holds more than 51 million items, from books, e-books, and DVDs to renowned research collections used by scholars from around the world. Housed in the iconic 42nd Street library and three other research centers, NYPL’s historical collections hold such treasures as Columbus’s 1493 letter announcing his discovery of the New World, George Washington’s original Farewell Address, and John Coltrane’s handwritten score of “Lover Man.”

NYPL’s neighborhood libraries in the Bronx, Manhattan, and Staten Island—many of which date to Andrew Carnegie’s visionary philanthropy at the turn of the 20th century—are being transformed into true centers of educational innovation and service, vital community hubs that provide far more than just free books and materials. Our local libraries play a key role in closing the digital divide, especially for the one in three New Yorkers who don’t have Internet access at home. New York City public school students rely on their local branches for homework help. The city’s immigrant communities count on NYPL’s English language and literacy classes. Job seekers depend on our comprehensive job search resources. Altogether, the Library offers 67,000 free programs annually, serving everyone from toddlers to teens to seniors.

In the always expanding digital realm, The New York Public Library provides patrons worldwide with powerful online tools to help them discover its extensive resources and services. On nypl.org visitors can browse the Library’s immense collections, download e-books, and view more than 800,000 items from our award-winning Digital Gallery. Through Ask NYPL our librarians are available to answer patron questions on any topic at any time. 

Supported by both public funds and private donations, The New York Public Library embarks on its next 100 years passionately committed to meeting the ever-changing needs of our patrons. For the millions who depend on us in this, the world’s most vibrant and diverse city, NYPL is more important than ever."
"185","US Bureau of Labor Statistics","bls","11/06/2016","The Bureau of Labor Statistics of the U.S. Department of Labor is the principal Federal agency responsible for measuring labor market activity, working conditions, and price changes in the economy. Its mission is to collect, analyze, and disseminate essential economic information to support public and private decision-making. As an independent statistical agency, BLS serves its diverse user communities by providing products and services that are objective, timely, accurate, and relevant."
"186","Dryad Digital Repository","dryad","11/06/2016","The Dryad Digital Repository is a curated resource that makes the data underlying scientific publications discoverable, freely reusable, and citable. Dryad provides a general-purpose home for a wide diversity of datatypes.

Dryad’s vision is to promote a world where research data is openly available, integrated with the scholarly literature, and routinely re-used to create knowledge.

Our mission is to provide the infrastructure for, and promote the re-use of, data underlying the scholarly literature.

Dryad is governed by a nonprofit membership organization. Membership is open to any stakeholder organization, including but not limited to journals, scientific societies, publishers, research institutions, libraries, and funding organizations.

Publishers are encouraged to facilitate data archiving by coordinating the submission of manuscripts with submission of data to Dryad. Learn more about submission integration.

Dryad originated from an initiative among a group of leading journals and scientific societies in evolutionary biology and ecology to adopt a joint data archiving policy (JDAP) for their publications, and the recognition that easy-to-use, sustainable, community-governed data infrastructure was needed to support such a policy."
"188","Zillow","zillow","11/07/2016","Zillow® is the leading real estate and rental marketplace dedicated to empowering consumers with data, inspiration and knowledge around the place they call home, and connecting them with the best local professionals who can help.

Zillow serves the full lifecycle of owning and living in a home: buying, selling, renting, financing, remodeling and more. It starts with Zillow’s living database of more than 110 million U.S. homes – including homes for sale, homes for rent and homes not currently on the market, as well as Zestimate home values, Rent Zestimates and other home-related information. Zillow operates the most popular suite of mobile real estate apps, with more than two dozen apps across all major platforms.

Launched in 2006, Zillow is headquartered in Seattle and is owned and operated by Zillow Group."
"189","Pronto Cycle Share","pronto","11/07/2016",""
"190","GroupLens","grouplens","11/07/2016",""
"191","United States Drought Monitor","us-drought-monitor","11/08/2016","The U.S. Drought Monitor, established in 1999, is a weekly map of drought conditions that is produced jointly by the National Oceanic and Atmospheric Administration, the U.S. Department of Agriculture, and the National Drought Mitigation Center (NDMC) at the University of Nebraska-Lincoln. The U.S. Drought Monitor website is hosted and maintained by the NDMC.

U.S. Drought Monitor maps come out every Thursday morning at 8:30 Eastern Time, based on data through 7 a.m. Eastern Standard Time (8 a.m. Eastern Daylight Time) the preceding Tuesday. The map is based on measurements of climatic, hydrologic and soil conditions as well as reported impacts and observations from more than 350 contributors around the country. Eleven climatologists from the partner organizations take turns serving as the lead author each week. The authors examine all the data and use their best judgment to reconcile any differences in what different sources are saying.

Countries around the world have sought to emulate the U.S. Drought Monitor. We stress that it isn’t a strictly quantitative product, and that the community of drought observers lends credibility to the state-of-the-art blend of science and subjectivity that goes into the map.

The U.S. Drought Monitor, a composite index that includes many indicators, is the drought map that policymakers and media use in discussions of drought and in allocating drought relief. The U.S. Department of Agriculture’s Farm Service Agency used the U.S. Drought Monitor to distribute an estimated $1.64 billion from 2008 to 2011 through the Livestock Forage Disaster Program; $50 million in 2007 through the Livestock Assistance Grant Program; and additional funds through the Non-Fat Dry Milk Program in 2003 and 2004. The Internal Revenue Service also uses the U.S. Drought Monitor to determine the replacement period for livestock sold because of drought. As part of its response to the drought of 2012, the U.S. Department of Agriculture streamlined the process for secretarial disaster declarations, making declarations nearly automatic for a county shown in severe drought on the U.S. Drought Monitor for eight consecutive weeks."
"195","European Centre for Medium-Range Weather Forecasts","ECMWF","11/09/2016","The European Centre for Medium-Range Weather Forecasts (ECMWF) is an independent intergovernmental organisation supported by 34 states. 

ECMWF is both a research institute and a 24/7 operational service, producing and disseminating numerical weather predictions to its Member States. This data is fully available to the national meteorological services in the Member States. The Centre also offers a catalogue of forecast data that can be purchased by businesses worldwide and other commercial customers. The supercomputer facility (and associated data archive) at ECMWF is one of the largest of its type in Europe and Member States can use 25% of its capacity for their own purposes. 

The organisation was established in 1975 and now employs around 280 staff from more than 30 countries. ECMWF is one of the six members of the Co-ordinated Organisations, which also include the North Atlantic Treaty Organisation (NATO), the Council of Europe (CoE), the European Space Agency (ESA), the Organisation for Economic Co-operation and Development (OECD), and the European Organisation for the Exploitation of Meteorological Satellites (EUMETSAT)."
"197","Harvard University","harvard-university","11/11/2016","Harvard University is a private, Ivy League research university in Cambridge, Massachusetts, established in 1636, whose history, influence, and wealth have made it one of the world's most prestigious universities."
"198","Open Source Sports","open-source-sports","11/12/2016","Founded by Sean Lahman and Paul Reeths, Open Source Sports publishes databases of information about baseball, football, basketball, and other sports."
"199","Modeling Online Auctions","onlineauctions","11/12/2016",""
"200","Institute for Computing Education at Georgia Tech","iceatgt","11/13/2016",""
"201","Committee to Protect Journalists","cpjournalists","11/13/2016",""
"205","Progress Queens","progressqueens","11/14/2016","Progress Queens : An online news and politics publication primarily covering the borough of Queens but also reporting about larger issues important to New York City."
"209","Stanford University","stanfordu","11/14/2016",""
"210","The Nature Conservancy","conserveca","11/15/2016","The challenge of our time is to build a world where people and nature thrive together.

We believe human ingenuity is how we get there. New ideas and ways of solving problems that disrupt the tired paradigm of human progress at odds with nature’s needs.

Technology interventions, unconventional markets, science that drives action, and unexpected alliances create new ways for nature to do what it does best—sustain all life on Earth.

This is our future."
"212","ArcGIS Open Data","arcgisopendata","11/15/2016",""
"214","United States Department of Agriculture","usdeptofag","11/15/2016","The United States Department of Agriculture (USDA), also known as the Agriculture Department, is the U.S. federal executive department responsible for developing and executing federal laws related to farming, agriculture, forestry, and food. It aims to meet the needs of farmers and ranchers, promote agricultural trade and production, work to assure food safety, protect natural resources, foster rural communities and end hunger in the United States and internationally."
"216","Internet Association","InternetAssociation","11/16/2016","We are the voice of the internet economy."
"220","California Environmental Protection Agency","calepa","11/16/2016","The California Environmental Protection Agency, or CalEPA, is a state cabinet-level agency within the government of California. The mission of CalEPA is to restore, protect and enhance the environment, to ensure public health, environmental quality and economic vitality."
"221","Datafiniti","datafiniti","11/17/2016","**Instant Access to Every Data Point on the Web.**  We provide instant access to business, people, product, and property data sourced from thousands of websites."
"222","National UFO Reporting Center (NUFORC)","NUFORC","11/17/2016","The National UFO Reporting Center (NUFORC) is an organization in the United States that investigates UFO sightings and/or alien contacts. NUFORC has been in continuous operation since 1974. It was founded in 1974 by Robert J. Gribble. It has catalogued almost 90,000 reported UFO sightings over its history, most of which were in the United States. In addition to record keeping, the center has provided statistics and graphs to assist others looking for information."
"223","Centers for Disease Control and Prevention","cdc","11/17/2016","Centers for Disease Control and Prevention works 24/7 to protect America from health, safety and security threats, both foreign and in the U.S. Whether diseases start at home or abroad, are chronic or acute, curable or preventable, human error or deliberate attack, CDC fights disease and supports communities and citizens to do the same.

CDC increases the health security of our nation. As the nation’s health protection agency, CDC saves lives and protects people from health threats. To accomplish our mission, CDC conducts critical science and provides health information that protects our nation against expensive and dangerous health threats, and responds when these arise."
"224","Airbnb","airbnb","11/17/2016","Airbnb is a peer-to-peer online marketplace and homestay network that enables people to list or rent short-term lodging in residential properties, with the cost of such accommodation set by the property owner. The company receives percentage service fees from both guests and hosts in conjunction with every booking. It has over 2,000,000 listings in 34,000 cities and 191 countries."
"227","World Bank","theworldbank","11/17/2016","The World Bank (WB) is an international financial institution that provides loans to developing countries for capital programs. It comprises two institutions: the International Bank for Reconstruction and Development (IBRD), and the International Development Association (IDA). The World Bank is a component of the World Bank Group, which is part of the United Nations system.

The World Bank's stated official goal is the reduction of poverty. However, according to its Articles of Agreement, all its decisions must be guided by a commitment to the promotion of foreign investment and international trade and to the facilitation of Capital investment."
"229","Stanford Network Analysis Project","snap","11/20/2016","Stanford Network Analysis Platform (SNAP) is a general purpose network analysis and graph mining library. It is written in C++ and easily scales to massive networks with hundreds of millions of nodes, and billions of edges. It efficiently manipulates large graphs, calculates structural properties, generates regular and random graphs, and supports attributes on nodes and edges. SNAP is also available through the NodeXL which is a graphical front-end that integrates network analysis into Microsoft Office and Excel.

SNAP also hosts the [Stanford Large Network Dataset Collection](http://snap.stanford.edu/data/index.html), a collection of more than 50 large network datasets from tens of thousands of nodes and edges to tens of millions of nodes and edges. In includes social networks, web graphs, road networks, internet networks, citation networks, collaboration networks, and communication networks."
"233","NHTSA","nhtsa","11/21/2016","The National Highway Traffic Safety Administration"
"234","World Economic Forum","weforum","11/21/2016","The World Economic Forum, committed to improving the state of the world, is the International Organization for Public-Private Cooperation.

The Forum engages the foremost political, business and other leaders of society to shape global, regional and industry agendas.

It was established in 1971 as a not-for-profit foundation and is headquartered in Geneva, Switzerland. It is independent, impartial and not tied to any special interests. The Forum strives in all its efforts to demonstrate entrepreneurship in the global public interest while upholding the highest standards of governance. Moral and intellectual integrity is at the heart of everything it does.

Our activities are shaped by a unique institutional culture founded on the stakeholder theory, which asserts that an organization is accountable to all parts of society. The institution carefully blends and balances the best of many kinds of organizations, from both the public and private sectors, international organizations and academic institutions.

We believe that progress happens by bringing together people from all walks of life who have the drive and the influence to make positive change."
